代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
002831.SZ,裕同科技,2016-12-16,44.12,52.95,44.12,52.95,30208,
002831.SZ,裕同科技,2016-12-19,58.25,58.25,58.25,58.25,5677,
002831.SZ,裕同科技,2016-12-20,64.08,64.08,64.08,64.08,10638,
002831.SZ,裕同科技,2016-12-21,70.49,70.49,70.49,70.49,8153,
002831.SZ,裕同科技,2016-12-22,77.54,77.54,77.54,77.54,32148,
002831.SZ,裕同科技,2016-12-23,85.29,85.29,79.61,80.73,16250921,
002831.SZ,裕同科技,2016-12-26,77,77,72.77,73.34,9774679,
002831.SZ,裕同科技,2016-12-27,72.7,75.5,72.7,73.74,6440728,
002831.SZ,裕同科技,2016-12-28,73.02,73.5,68.5,69,7782795,
002831.SZ,裕同科技,2016-12-29,68.7,70.87,67.09,68.5,5691335,
002831.SZ,裕同科技,2016-12-30,68.92,70.38,67.58,69.2,5123433,
002831.SZ,裕同科技,2017-01-03,69.2,69.99,68.32,69.7,4009734,
002831.SZ,裕同科技,2017-01-04,69.62,70.28,68.31,69.38,5192270,
002831.SZ,裕同科技,2017-01-05,69,69.14,66.66,66.67,5374223,
002831.SZ,裕同科技,2017-01-06,66.72,66.97,63.8,63.9,5156007,
002831.SZ,裕同科技,2017-01-09,63.56,65.74,62.81,64.7,3992569,
002831.SZ,裕同科技,2017-01-10,64.2,65.84,64.02,64.26,2695761,
002831.SZ,裕同科技,2017-01-11,64.33,64.33,61.21,61.3,3675102,
002831.SZ,裕同科技,2017-01-12,61.35,62.53,60.65,61.34,2661538,
002831.SZ,裕同科技,2017-01-13,61.35,61.45,59.13,59.23,3483377,
002831.SZ,裕同科技,2017-01-16,58.65,60.18,54.3,58.56,4147865,
002831.SZ,裕同科技,2017-01-17,58,61.75,57.22,61.38,5178060,
002831.SZ,裕同科技,2017-01-18,60.53,61.5,60.21,60.75,3042241,
002831.SZ,裕同科技,2017-01-19,60.19,61.44,58.6,59.87,2964340,
002831.SZ,裕同科技,2017-01-20,59.7,61.99,59.42,60.85,3130628,
002831.SZ,裕同科技,2017-01-23,60.95,62.68,60.8,61.35,3167705,
002831.SZ,裕同科技,2017-01-24,61.4,61.69,59.06,59.14,2575639,
002831.SZ,裕同科技,2017-01-25,59,60.23,58.68,59.65,2441729,
002831.SZ,裕同科技,2017-01-26,59.96,60.56,59.6,59.95,1847717,
002831.SZ,裕同科技,2017-02-03,59.77,60.15,58.81,59.55,1358601,
002831.SZ,裕同科技,2017-02-06,60.2,62.5,60.01,62.48,3977621,
002831.SZ,裕同科技,2017-02-07,62.5,64.39,62.32,63,4913991,
002831.SZ,裕同科技,2017-02-08,62.6,63.87,62.35,63.68,2572243,
002831.SZ,裕同科技,2017-02-09,63.75,65.5,63.4,64.48,4419832,
