代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),
600909.SH,华安证券,2016-12-06,7.69,9.23,7.69,9.23,336157,
600909.SH,华安证券,2016-12-07,10.15,10.15,10.15,10.15,194218,
600909.SH,华安证券,2016-12-08,11.17,11.17,11.17,11.17,406442,
600909.SH,华安证券,2016-12-09,12.29,12.29,12.29,12.29,1040838,
600909.SH,华安证券,2016-12-12,13.52,13.52,13.52,13.52,4208226,
600909.SH,华安证券,2016-12-13,13.9,14.87,13.53,14.87,340600573,
600909.SH,华安证券,2016-12-14,15.01,15.01,13.87,14,300975366,
600909.SH,华安证券,2016-12-15,13.74,15.39,13.65,14.98,306939182,
600909.SH,华安证券,2016-12-16,14.61,14.96,14.33,14.71,181651038,
600909.SH,华安证券,2016-12-19,14.6,14.6,13.92,14.21,120576332,
600909.SH,华安证券,2016-12-20,14.15,14.82,14.14,14.43,143187108,
600909.SH,华安证券,2016-12-21,14.6,14.88,14.16,14.53,137002666,
600909.SH,华安证券,2016-12-22,14.42,14.44,14,14.13,100288189,
600909.SH,华安证券,2016-12-23,13.92,14.02,13.01,13.03,165543071,
600909.SH,华安证券,2016-12-26,12.79,13.23,12.44,13.12,96462659,
600909.SH,华安证券,2016-12-27,12.98,13.02,12.66,12.7,75189002,
600909.SH,华安证券,2016-12-28,12.71,12.88,12.42,12.56,58621630,
600909.SH,华安证券,2016-12-29,12.49,12.79,12.32,12.55,60926967,
600909.SH,华安证券,2016-12-30,12.51,12.68,12.42,12.55,48271294,
600909.SH,华安证券,2017-01-03,12.64,12.77,12.55,12.63,45324931,
600909.SH,华安证券,2017-01-04,12.69,12.69,12.36,12.52,71675182,
600909.SH,华安证券,2017-01-05,12.5,12.5,12.13,12.16,84056928,
600909.SH,华安证券,2017-01-06,12.09,12.17,11.62,11.63,81979114,
600909.SH,华安证券,2017-01-09,11.64,11.71,11.54,11.59,47198869,
600909.SH,华安证券,2017-01-10,11.54,11.55,11.27,11.34,68461652,
600909.SH,华安证券,2017-01-11,11.27,11.33,10.83,10.85,73206445,
600909.SH,华安证券,2017-01-12,10.74,11.29,10.7,10.96,75665731,
600909.SH,华安证券,2017-01-13,10.86,11.08,10.72,10.84,53963597,
600909.SH,华安证券,2017-01-16,10.7,10.72,10,10.36,67867540,
600909.SH,华安证券,2017-01-17,10.25,10.55,9.99,10.45,55286385,
600909.SH,华安证券,2017-01-18,10.35,10.42,10.22,10.23,32622332,
600909.SH,华安证券,2017-01-19,10.19,10.66,10.11,10.4,65356345,
600909.SH,华安证券,2017-01-20,10.35,10.96,10.32,10.73,79541968,
600909.SH,华安证券,2017-01-23,10.63,10.76,10.57,10.63,46638505,
600909.SH,华安证券,2017-01-24,10.64,10.64,10.42,10.45,26572137,
600909.SH,华安证券,2017-01-25,10.43,10.54,10.41,10.46,19044057,
600909.SH,华安证券,2017-01-26,10.52,10.57,10.36,10.43,27271481,
600909.SH,华安证券,2017-02-03,10.41,10.45,10.33,10.39,15178774,
600909.SH,华安证券,2017-02-06,10.39,10.53,10.36,10.52,27256536,
600909.SH,华安证券,2017-02-07,10.48,10.51,10.23,10.33,33021588,
600909.SH,华安证券,2017-02-08,10.31,11.28,10.21,11.11,114881236,
600909.SH,华安证券,2017-02-09,10.9,11.34,10.86,11.02,125533458,
600909.SH,华安证券,2017-02-10,10.97,11.53,10.91,11.29,126586473,
600909.SH,华安证券,2017-02-13,11.18,11.55,11.13,11.32,97971701,
600909.SH,华安证券,2017-02-14,11.3,11.88,11.21,11.49,107895338,
600909.SH,华安证券,2017-02-15,11.38,11.92,11.25,11.42,118892811,
600909.SH,华安证券,2017-02-16,11.29,12.53,11.28,12.43,223015334,
600909.SH,华安证券,2017-02-17,12.21,13.67,12.13,12.39,328880197,
600909.SH,华安证券,2017-02-20,12.07,12.48,11.66,12.25,168739970,
600909.SH,华安证券,2017-02-21,12.2,12.45,11.87,12,125765696,
600909.SH,华安证券,2017-02-22,11.91,11.94,11.65,11.79,88541790,
600909.SH,华安证券,2017-02-23,11.76,11.93,11.61,11.8,69751969,
600909.SH,华安证券,2017-02-24,11.74,11.82,11.6,11.76,52971262,
600909.SH,华安证券,2017-02-27,11.68,11.79,11.57,11.61,48812399,
600909.SH,华安证券,2017-02-28,11.58,12.09,11.58,11.92,91902260,
600909.SH,华安证券,2017-03-01,11.89,12.05,11.81,11.89,73083188,
600909.SH,华安证券,2017-03-02,11.96,13.08,11.93,12.57,231019372,
600909.SH,华安证券,2017-03-03,12.33,12.44,12.13,12.31,126470915,
600909.SH,华安证券,2017-03-06,12.27,12.57,12.19,12.43,99991402,
600909.SH,华安证券,2017-03-07,12.42,12.48,12.14,12.45,82816125,
600909.SH,华安证券,2017-03-08,12.39,12.44,12.2,12.25,61777207,
600909.SH,华安证券,2017-03-09,12.2,12.28,11.95,12.16,71544485,
600909.SH,华安证券,2017-03-10,12.1,12.3,11.75,11.79,70650498,
600909.SH,华安证券,2017-03-13,11.65,11.74,11.41,11.7,53039416,
600909.SH,华安证券,2017-03-14,11.69,11.87,11.58,11.61,42837020,
600909.SH,华安证券,2017-03-15,11.61,11.77,11.56,11.66,36669083,
600909.SH,华安证券,2017-03-16,11.79,12.83,11.79,12.83,246894347,
600909.SH,华安证券,2017-03-17,13.39,13.49,12.27,12.3,287302905,
600909.SH,华安证券,2017-03-20,12.25,12.34,12.01,12.18,107112987,
600909.SH,华安证券,2017-03-21,12.1,12.43,12.07,12.38,88652710,
600909.SH,华安证券,2017-03-22,12.25,12.38,12.11,12.18,71389034,
600909.SH,华安证券,2017-03-23,12.16,12.6,12.01,12.35,98098728,
600909.SH,华安证券,2017-03-24,12.28,12.55,12.13,12.44,91224433,
600909.SH,华安证券,2017-03-27,12.47,12.95,12.38,12.6,130367894,
